address,rest_coords
100STUYVESANT PLACE10301.0,POINT (-74.077426245868 40.643604814333)
1828 AVENUE10011.0,POINT (-74.000133525454 40.743008213452)
333KINGSTON AVENUE11213.0,POINT (-73.942339077361 40.667751317951)
2563BROADWAY10025.0,POINT (-73.971674103509 40.794809248117)
72WEST   69 STREET10023.0,POINT (-73.979733977618 40.775265573137)
805SOUNDVIEW AVENUE10473.0,POINT (-73.865966513326 40.821207615897)
25402ROCKAWAY BOULEVARD11422.0,POINT (-73.740110656517 40.635568414362)
4360WHITE PLAINS ROAD10466.0,POINT (-73.855032756867 40.897500681836)
1592 AVENUE10003.0,POINT (-73.986953230475 40.729593809786)
11716QUEENS BOULEVARD11375.0,POINT (-73.832509783357 40.715311990803)
5921CALLOWAY STREET11368.0,POINT (-73.856825456444 40.737574816684)
2803AVENUE U11229.0,POINT (-73.94366517825 40.600235806201)
16118UNION TPKE11366.0,POINT (-73.805871367369 40.720973634017)
3018BASTORIA BLVD11102.0,POINT (-73.91874710506 40.770223933985)
57JANE STREET10014.0,POINT (-74.00537671185 40.738141622621)
1905STORY AVENUE10473.0,POINT (-73.859478519433 40.824117526154)
5100KINGS PLAZA11234.0,POINT (-73.922281617072 40.609928854538)
4803DITMARS BOULEVARD11105.0,POINT (-73.900921038533 40.769227306978)
8CHRISTOPHER STREET10014.0,POINT (-74.000054124594 40.733999899611)
1520WESTCHESTER AVENUE10472.0,POINT (-73.87909738217 40.8285726107)
48108 AVENUE11220.0,POINT (-74.002680868628 40.642110339259)
311WEST   43 STREET10036.0,POINT (-73.98992193871 40.758172574083)
6910ROOSEVELT AVENUE11377.0,POINT (-73.896122784181 40.746339992501)
71243 AVENUE11209.0,POINT (-74.026776582703 40.633974451804)
313WEST   57 STREET10019.0,POINT (-73.983541549355 40.766998977814)
165-167E 116TH ST10029.0,POINT (-73.940936115688 40.798335533067)
1000S 8TH AVE10019.0,POINT (-73.982808747226 40.766812226924)
3519JOHNSON AVENUE10463.0,POINT (-73.909903636423 40.885930124201)
50HOYT STREET11201.0,POINT (-73.986102986167 40.689108356439)
963FULTON STREET11238.0,POINT (-73.964413377802 40.682963614771)
1700BROADWAY10019.0,POINT (-73.982398119522 40.763334557175)
59208 AVENUE11220.0,POINT (-74.009137161449 40.635904054449)
306WEST   39 STREET10018.0,POINT (-73.991730686081 40.755545984056)
88213 AVENUE11209.0,POINT (-74.031710338511 40.62183850408)
1300HYLAN BOULEVARD10305.0,POINT (-74.085574258833 40.596586329156)
16292 AVENUE10028.0,POINT (-73.952462312075 40.776901626669)
230PARK AVENUE10169.0,POINT (-73.975950427165 40.75450075314)
16715HILLSIDE AVE11432.0,POINT (-73.795400395359 40.709817131424)
1421BROADWAY11106.0,POINT (-73.932975930157 40.765937579675)
12402ROCKAWAY BLVD11420.0,POINT (-73.813391394553 40.675420054023)
